probe_name,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G34750,-0.4658263377554661,-0.5474052200155315,-0.46204142328092085,-0.4953473783641444,-0.4495778766057284,-0.4440780540656551,-0.49402172339474115,-0.48083299928814055
AT2G30110,-0.4271317563437403,-0.5357602780218846,-0.4638826980819495,-0.6254574044999469,-0.486213532340992,-0.6123763428357923,-0.4742869025363777,-0.5964986920579645
AT2G23070,-0.45036009039479136,-0.6738933830499717,-0.4762370580372379,-0.6020943938545299,-0.48861379944088856,-0.5713977797597061,-0.40705155071608523,-0.5687710379983538
AT2G23090,-0.5893825385806326,-0.5386380510433032,-0.5968108595239476,-0.48327864082079375,-0.5053525042164831,-0.3963407681048057,-0.518861450595016,-0.41914051286152326
AT2G23120,0.01762422581079674,-0.005647717495005777,-0.39504277890801026,-0.3920854528595393,-0.32432183294533573,-0.16964954918612946,-0.1738444878282931,0.04580716512246208
AT2G02510,-0.5992299619937963,-0.787598879872995,-0.6037601869987974,-0.6947719719949129,-0.6183545526826668,-0.6299124886989615,-0.6550130380311081,-0.6644901110326448
AT2G44100,-0.1354742452538609,0.13241846257909498,-0.042824728259641454,-0.016857431057180676,0.15029940359737223,0.03725261624112341,0.00594782333559998,0.1948201478526195
AT2G44060,-0.4201227079143709,-0.3969579234539328,-0.4572303504137172,-0.41919170830449815,-0.33682848783427066,-0.31955924055808244,-0.3970907578538197,-0.3323758047239885
AT2G44120,1.3875746006421072,1.5320869502522603,1.5335440852661102,1.6990330773121538,1.328830549646593,1.324454434114026,1.2804312700624765,1.3752524582077637
AT2G44050,-0.6544334591275908,-0.753734853155838,-0.5265454372782444,-0.66695579081211,-0.6422940587579511,-0.7193590104801958,-0.6556355875849997,-0.6985784518809858
AT2G30860,3.1279039478485293,3.079927286051485,3.131651820636264,3.0563465493667477,3.6850716977371745,3.9932366326650817,3.959946804967297,4.464014313663333
AT2G30870,-0.14242536766315295,-0.2211460693314595,0.06099941213384072,0.032579215778149095,0.1172641485119534,0.03670461168289931,0.18704748856266548,0.23273725162233225
AT2G37630,-0.29679821116951416,-0.42011395753325353,-0.403417609454624,-0.5730519773063597,-0.4520413086293064,-0.6015989198573864,-0.3407500232266302,-0.5168974758378347
AT2G37660,0.15687837807694777,-0.001899920071763164,0.007780630787982419,-0.17678433818243777,-0.10791880441255468,-0.2597049649209461,-0.012666408325758815,-0.29044467531090234
AT2G37620;AT3G53750,-0.7478102034924141,-0.6344745851519371,-0.6910128541830223,-0.636751677602013,-0.7522641908874234,-0.672291507868287,-0.7616557766127386,-0.6449757709817828
AT2G38140,-0.7659989737967283,-0.6953093683256442,-0.7427467364957929,-0.6716025774598172,-0.8332416230470922,-0.670403936612182,-0.73413908633073,-0.8054750424760554
AT2G41430,-0.5366698603101678,-0.5188282646633061,-0.5216155724883936,-0.5381365387451152,-0.32211106061648365,-0.3212032542327546,-0.40742508044842013,-0.36269713689162525
AT2G14720;AT2G14740,-0.8006387338030337,-0.8265492030931242,-0.7377574757446187,-0.7916445658589206,-0.6908678850690162,-0.8408942436152155,-0.6477914632059655,-0.7889249059772232
AT2G41090,-1.0365714135784219,-1.0998037902199072,-0.7503494195452012,-0.5826037054155357,-0.4448405073296168,-0.5331592394747401,-0.765702348713034,-0.7542190227222092
AT2G34250,0.08047395759481246,0.1543029225326726,0.1563893260193854,0.17611329222955022,0.1367189450058521,-0.04050314163133166,0.018834599101155914,0.044448571827781655
AT2G34430;AT2G34420,1.1162491225994071,1.135355823020429,1.2595505156807938,1.179367437210229,1.934771662523116,2.149627520008708,1.8605229443786662,1.7470129870248166
AT2G34480,3.5045968564120824,3.377810256245291,3.5906638097442896,3.442675228160851,3.511178662842036,3.515985551847305,2.7924796265543863,3.2882135713582366
AT2G39390,-0.4939204574930215,-0.5495468185430988,-0.47243571651253374,-0.4410703287707864,-0.5597375035062451,-0.5207378028216618,-0.5885247456754856,-0.5528384439061943
AT2G39460,1.7291064150186575,1.774689908453237,1.8551732158328753,1.814750972580752,2.003684594259621,1.843962755310412,1.7173988019389883,1.6884082126315632
AT2G18960,-0.25764022159716893,-0.4096736647113633,0.022689017080181718,-0.20001827142097392,0.14379341645817875,-0.1548534261140805,-0.0431090815110578,-0.22331781570556403
AT2G45960,-0.4940363095331764,-0.4733862209064888,-0.40288304580271256,-0.430421442703124,-0.23589093979125123,-0.23504475980086448,-0.06558312040654453,-0.261728953400615
AT2G45790,-0.6654394029423032,-0.6067007292475495,-0.5945538129936546,-0.409769057602203,-0.6027528165333391,-0.49352024309653486,-0.6059561331844504,-0.48614386398552695
AT2G44650,0.1413542046961954,-0.11473539249296216,0.13512557186557145,0.021607636193284804,-0.08006307306901811,-0.12672252545857995,0.07978220042714328,-0.24252338455308947
