gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
SCRL6,0.9331147682028489,1.3603732948359135,0.4388731019970089,1.0660366624526894,0.5606155553807978,0.9248344703874474,0.7570882844883439,0.8840248740640866
SCRL5,1.7088202607619352,2.0282881154600934,1.184046260723102,1.1330327306763326,1.0694332030977565,1.2097490795614378,0.8664548964294974,0.9792812661211867
scpl21,0.4644235337852194,0.5375928005483644,0.8105972124263445,0.5961826576737184,0.7392295512183692,0.8925157983020394,1.076741105568382,0.8908594134045065
KNAT4;ARF10;MIR169c,-0.254953012252115,-0.2937913422760383,-0.2907756159222902,-0.27476622923364274,-0.28347280792725255,-0.20291708711915382,-0.2703354561458262,-0.2970689557021993
ENDO4,-0.23173344651032418,-0.29107440063282136,-0.21358464635517757,-0.2738847020201738,-0.24631434070808872,-0.22460461707120383,-0.29567650037609355,-0.2859628292740173
ARF3,-0.19088421048309956,-0.19915120837064607,-0.1739110754044828,-0.13195882065166656,-0.13610570497852337,-0.12849909218564884,-0.1969798017950525,-0.11552650447230006
ARFB1A,-0.1702445964903966,-0.17243461554567888,-0.16140527586567685,-0.24435354036896265,-0.23829148983122383,-0.27605934499665585,-0.21387383128189735,-0.18942496109058848
ARI2,-0.27473264232845535,-0.2860933409535902,-0.28215092658518265,-0.2611025574248734,-0.27882799952485704,-0.29051769829802254,-0.29434276120607944,-0.29066157507055584
ARL,-0.24979310875393926,-0.1887362654049809,-0.2830133955188934,-0.2417089587285557,-0.22815736240781548,-0.2292823196098813,-0.25344142665898134,-0.2355581016384217
ENDO3,-0.18658429090128645,-0.23809403859008976,-0.12992515978523428,-0.2685955387393599,-0.22689059647988946,-0.23778723331656756,-0.22409916491867188,-0.292797368614437
ARF11,-0.14487507095769922,-0.22224521233799058,-0.11267578111101918,-0.1284327117977906,-0.14835110894847506,-0.14976137645236456,-0.10095058155403965,-0.1121092348020902
AGP5,-0.15734483774495728,-0.21001897494351407,-0.24247735563448786,-0.026616318642122386,-0.13019413064820187,-0.2445911642819166,-0.21876420823861562,-0.16849418436055305
NCED5,0.24383765923820647,0.4891406745776612,0.15167094707132736,0.6468704724481852,0.18818637257054247,0.2699561149726035,0.21692392063264648,0.31035072817760484
NF-YA3,-0.268712754913917,-0.2140943874083396,-0.26490154791096754,-0.2721216475932358,-0.23913600044984115,-0.25734853484194603,-0.2165413096219255,-0.22018038812247728
SETH5,0.27694704001816756,0.476008789968779,0.12148453439145092,0.28103667885855477,0.456318493981554,0.7972607647871531,0.3627460698875178,0.6127790939911782
NDA1,-0.11950554542500183,-0.12669943121819266,-0.10750096750875464,-0.1209397304833042,-0.12808285410165846,-0.06938994192417915,-0.11695545159420846,-0.023260223376633624
NDT2,-0.26699278708119173,-0.2833763993103732,-0.2614516721761245,-0.2910744826828191,-0.27376093581315286,-0.2947701551513657,-0.28589574646265703,-0.2910887337793321
NEK1,-0.2738726584120927,-0.26481063141505695,-0.21617205315630983,-0.23730132266121073,-0.27840574421554837,-0.2173754404205205,-0.2507739483189532,-0.27741965509849265
ABR1,-0.24549318917212615,-0.2883574589896043,-0.24075241776706635,-0.2668324843124219,-0.24378080885223666,-0.27818557342332745,-0.24899562942560113,-0.2581975132035621
ACA3,-0.26699278708119173,-0.2933385186688355,-0.27956351978405036,-0.297245173177102,-0.2822060419993265,-0.26372722012196076,-0.30101145705614973,-0.26631352867031055
ABO1,-0.2768826021193619,-0.29107440063282136,-0.26102043770926914,-0.26771401152589086,-0.26236004246181854,-0.2620262373806235,-0.27655957227255856,-0.24068400614373653
ABIL4,0.12300991898925792,0.01548718144349713,0.3112276998078171,0.4934847373045812,0.6805360632244629,0.5757077627279754,0.3920883316278274,0.4987277187479239
ABIL3,2.370147892444793,2.0699478873227544,5.018151905534265,5.950138188677623,6.237838189035993,5.266592917650795,4.057648150549823,5.810873421089165
