AT1G03200 AtLEA4-1 
AT1G03210 GBSS1 
AT1G03220 TPR9 
AT1G03230 GXMT1 
AT1G03240 FBH1 
AT1G03250 RanBPM 
AT1G03260 FANCM 
AT1G03270 RPL21C 
AT1G03280 TPPD 
AT1G03290 UMAMIT22 
AT1G03320 FBP 
AT1G03330 FTM1 
AT1G03340 SIAR1 
AT1G03350 BGLU1 
AT1G03365 DYW1 
AT1G03370 SERPIN1 
AT1G03390 DPMS3 
AT1G03400 DGAT3 
AT1G03440 DHNAT1 
AT1G03457 EMB3105 
AT1G03470 CRF9 
AT1G03495 BBX17 
AT1G03502 PERK7 
AT1G03506 Erv1 
AT1G03510 QWRF2 
AT1G03515 BCAT7 
AT1G03520 FYPP1 
AT1G03540 PRK5 
AT1G03545 AUG4 
AT1G03550 GDC1 
AT1G03560 BSK11 
AT1G03570 CRR41 
AT1G03580 FBH3 
AT1G03590 UCN 
AT1G03610 ABCG13 
AT1G03620 MSR2 
AT1G03640 IOS1 
AT1G03650 LYK3 
AT1G03660 PERK15 
AT1G03670 LEA7 
AT1G03687 AtNug2 
AT1G03700 ABCG10 
AT1G03710 DJ1B 
AT1G03720 ABCG24 
AT1G03730 HEI10 
AT1G03740 FAP3 
AT1G03743 GLL22 
AT1G03746 SPL2 
AT1G03760 ABCD2 
AT1G03810 PES1 
AT1G03820 RH20 
AT1G03830 MDO1 
AT1G03850 TPR5 
AT1G03890 A/N-InvA 
AT1G03905 PGN 
AT1G03910 Cand1 
AT1G03920 TCP8 
AT1G03935 JAX1 
AT1G03940 TPR6 
AT1G03960 MTR4 
AT1G03982 EMB3108 
AT1G03990 UMAMIT35 
AT1G04000 PUB19 
AT1G04030 BBX26 
AT1G04040 AtRZ-1b 
AT1G04090 DWA3 
AT1G04130 FBS1 
AT1G04140 PTR6 
AT1G04150 Phox2 
AT1G04171 NOGC1 
AT1G04190 NG1 
AT1G04200 Hop2 
AT1G04210 CuAO1 
AT1G04230 RPF3 
AT1G04280 LPLAT2 
AT1G04290 BSK7 
AT1G04295 TRM12 
AT1G04300 DAL1 
AT1G04320 MAKR2 
AT1G04330 DAA1 
AT1G04340 DIR5 
AT1G04350 HEB1 
AT1G04360 CDI 
AT1G04380 Hrd1B 
AT1G04390 CBSX6 
AT1G04410 GLC 
AT1G04420 LETM2 
AT1G04425 LSM8 
AT1G04430 UCL1 
AT1G04445 AAE11 
AT1G04457 SWEET6 
AT1G04470 PMI2 
AT1G04480 LUP5 
AT1G04490 TRM22 
AT1G04500 GLOX1 
AT1G04501 EMB2813 
AT1G04530 LOX6 
AT1G04540 POD1 
AT1G04555 UMAMIT23 
AT1G04560 BBX27 
AT1G04570 AE7 
AT1G04590 PDE337 
AT1G04620 BBX14 
AT1G04625 TKPR2 
AT1G04645 CRF10 
AT1G04650 PSRP3/1 
AT1G04660 PERK9 
AT1G04670 PHYLLO 
AT1G04680 RRG 
AT1G04684 TCP15 
AT1G04700 UMAMIT36 
AT1G04720 CLO4 
AT1G04770 PGM2 
AT1G04778 EHB1 
AT1G04780 DEP 
