gene_symbol,37D-2H-25C-A,37D-2H-25C-B,40D-5H-25C-A,40D-5H-25C-B,44D-9H-25C-A,44D-9H-25C-B
AT2G30770,-0.22769446561800383,-0.17947589985646847,-0.2953457538063242,-0.29677700363196635,-0.315098051402418,-0.3054963636850694
AT2G30780,0.1431249399826199,-0.022243273453356242,-0.13062753078562012,0.042981092472866994,-0.17276514209080043,0.025845694275577646
AT2G30650,-0.24511174072954828,-0.2771077111970291,-0.29817596382386213,-0.23283013763504906,-0.07787653588305547,-0.2670101718348309
AT2G30660,-0.005202822257629567,-0.05686850887064811,-0.21779799932578656,0.02231139841325734,-0.15032526900113102,-0.22792263323693243
AT2G30670,0.16335145301538118,0.0243021249764459,-0.08024979247344603,0.21673570816146046,0.30424244587245824,0.14731773730289285
AT2G30680,-0.0799285509619977,-0.1403096499582203,-0.09892917858919596,-0.29483921981387795,-0.17340628132193386,-0.10163981622833737
AT2G30690,-0.10015506399475897,-0.2106953744130431,-0.23364717542399863,-0.16629955988068054,-0.19969298979840375,-0.20447011007819335
AT2G30640,-0.15521612725060918,-0.2515645047416499,-0.14477858087330947,-0.16436177606259214,-0.21251577442107197,-0.15275428977943536
AT2G42000,-0.17263340236215363,-0.24134722215949816,-0.21326966329772598,-0.29936071538941755,-0.3131746337090177,-0.22671993974161245
AT2G41970,-0.1456647183184719,-0.21012774760292355,-0.2687417796414682,-0.08749635127841883,-0.3138157729401511,-0.17079469220923466
AT2G41930,-0.24117880763984467,-0.2436177293999763,-0.25742093957131673,-0.2864421566021615,-0.23687906520414165,-0.15816641050837515
MOS11,-0.1900506774736981,-0.15506794702132828,-0.290251375774756,-0.2864421566021615,-0.3138157729401511,-0.25919266411525116
AT2G42060,-0.08610887438867473,-0.25837602646308433,-0.164024008992567,-0.1514432172753361,-0.12596197821806135,-0.137119274340276
AT2G42050,-0.2844410716265841,-0.2754048307666705,-0.3032703418554303,-0.30517406684368276,-0.3195860260203518,-0.31511791164762903
AT2G41860,-0.23162739870770738,-0.27994584524762683,-0.2891192917677409,-0.31550891387348756,-0.3176626083269516,-0.31511791164762903
AT2G42010,0.0391831368975966,0.10604038563365946,-0.021381424108658273,0.2393431860391585,-0.06761830818492086,-0.013241844322320822
AT2G41870,-0.19960208640583535,-0.224318417855912,-0.1662881770065973,-0.10235269388376324,-0.29522273523728215,-0.264604784844191
AT2G32750,-0.2265707704495171,-0.2436177293999763,-0.29251554378878636,-0.30646592272240836,-0.24264931828434236,-0.31090848441400915
AT2G32740,-0.29230693780599126,-0.28221635248810495,-0.2919495017852788,-0.31227927417667356,-0.2676537482985455,-0.31030713766634915
AT2G32690,1.0634312829732588,1.9752354713573002,0.9029651676192104,1.8276799889322861,1.352505088775587,2.295328319944329
AT2G32680,-0.20802980016948588,-0.15450032021120877,-0.20025069721705174,-0.12302238794337288,-0.21508033134560564,-0.187632401143714
AT2G32670,-0.0007080415836826288,-0.03189292922538842,0.16541243704884123,0.16183183331562237,0.16062725809857387,0.02223761378961778
AT2G32660,-0.22825631320224718,-0.13122762099630766,-0.19911861321003663,-0.19601224509136939,-0.2323910905862078,-0.23032802022757232
AT2G32640,0.20717556458636405,0.1735879760378846,-0.007230374020968916,0.20187936555611605,-0.004145524302713071,0.1034194247237146
UAP56b,-0.12543820528571062,-0.2731343235261923,-0.2053450752486199,-0.30775777860113396,-0.23046767289280753,-0.20567280357351328
AT2G32780,-0.19398361056340166,-0.23567095405830277,-0.11477835468740802,-0.2612509669670123,-0.2593189382938111,-0.2808411470310103
AT2G32770,-0.21083903809070273,-0.10795492178140659,-0.10062730459971866,-0.013214638251696713,-0.10288096589725854,-0.10524789671429724
