gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G35060,48.7,42.9,15.7,26.2,22.4,24.9,26.4,28.3
AT2G34800,9.1,6.3,0.4,2.9,3.7,12.9,5.6,9.0
AT2G34810,19.8,17.2,11.7,26.2,25.4,37.0,54.5,62.6
AT2G34820,4.1,2.7,8.3,4.1,2.2,3.6,3.9,3.9
AT2G34830,27.5,9.1,23.7,21.9,16.3,28.1,18.1,29.9
AT2G34840,78.8,99.6,97.4,108.3,120.9,98.2,99.8,115.0
AT2G34850,32.9,52.4,12.7,55.4,45.2,49.3,31.8,37.1
AT2G34860,649.4,456.4,510.5,591.9,603.2,613.1,690.2,421.0
AT2G34870,3.8,1.7,2.6,1.5,17.7,2.3,4.2,1.7
AT2G35020,315.0,343.9,295.8,380.7,323.5,282.8,289.7,310.7
AT2G26350,167.0,164.3,155.9,151.3,140.5,179.7,148.8,171.7
ASL1,190.5,138.2,188.6,123.6,168.3,116.5,170.7,127.0
AT2G26240,719.3,604.1,787.5,724.6,844.5,687.1,824.9,736.6
AT2G26210,113.1,79.6,165.4,84.8,189.5,128.6,131.1,140.8
AT2G26180,707.8,503.7,723.4,508.5,601.6,520.1,615.6,447.4
ACR12,6.4,8.4,7.6,1.7,9.0,2.6,11.1,0.9
NSH3,5.2,0.9,11.2,10.7,1.0,0.9,3.2,2.0
AT2G26280,164.4,138.6,143.7,140.4,163.7,154.1,174.8,96.3
AT2G26230,126.2,213.9,225.5,278.8,207.7,261.9,170.2,206.8
AT2G26300,171.3,211.7,185.9,189.4,204.7,161.1,198.6,178.1
AT2G26330,2783.1,2269.6,2476.5,1925.5,2207.3,2170.7,2201.4,2096.5
AT2G26250,857.9,805.4,885.6,779.3,720.9,689.3,756.1,679.5
AT2G26200,255.8,350.3,250.7,280.6,238.3,275.7,239.3,291.2
AT2G26340,110.7,127.7,150.5,142.2,131.8,159.3,177.1,123.9
AT2G26170,41.4,50.3,85.1,94.0,69.0,68.3,78.1,79.1
AT2G26190,159.3,151.9,189.7,219.0,267.8,263.6,291.5,293.0
AT2G44300,104.4,75.7,83.6,82.2,90.5,86.6,85.0,143.4
AT2G44360,289.1,233.8,288.3,252.0,348.3,305.9,331.1,288.2
AT2G44370,1.4,9.7,20.0,12.5,8.1,1.7,17.8,2.3
AT2G44380,12.6,16.0,9.3,14.3,26.0,14.5,15.9,11.8
AT2G44430,13.0,12.0,23.5,32.2,9.8,25.6,18.7,19.7
AT2G44440,156.6,168.0,167.1,142.5,125.1,158.7,130.8,168.5
AT2G44450,47.7,44.6,66.3,51.8,71.7,41.4,64.3,66.2
AT2G44460,10.5,21.7,17.1,4.5,13.3,18.1,14.9,24.0
